procedure_sk,cpt_code,description,category,status
110,48120,"Excision of lesion of pancreas (eg, cyst, adenoma) ",BILI,No Change
111,48140,"Pancreatectomy, distal subtotal, with or without splenectomy; without pancreaticojejunostomy ",BILI,No Change
112,48145,"Pancreatectomy, distal subtotal, with or without splenectomy; with pancreaticojejunostomy ",BILI,No Change
113,48146,"Pancreatectomy, distal, near-total with preservation of duodenum (Child-type procedure) ",BILI,No Change
114,48148,Excision of ampulla of Vater ,BILI,No Change
115,48150,"Pancreatectomy, proximal subtotal with total duodenectomy, partial gastrectomy, choledochoenterostomy and gastrojejunostomy (Whipple-type procedure); with pancreatojejunostomy ",BILI,No Change
116,48152,"Pancreatectomy, proximal subtotal with total duodenectomy, partial gastrectomy, choledochoenterostomy and gastrojejunostomy (Whipple-type procedure); without pancreatojejunostomy ",BILI,No Change
117,48153,"Pancreatectomy, proximal subtotal with near-total duodenectomy, choledochoenterostomy and duodenojejunostomy (pylorus-sparing, Whipple-type procedure); with pancreatojejunostomy ",BILI,No Change
118,48154,"Pancreatectomy, proximal subtotal with near-total duodenectomy, choledochoenterostomy and duodenojejunostomy (pylorus-sparing, Whipple-type procedure); without pancreatojejunostomy ",BILI,No Change
119,48155,"Pancreatectomy, total ",BILI,No Change
120,48160,"Pancreatectomy, total or subtotal, with autologous transplantation of pancreas or pancreatic islet cells ",BILI,No Change
121,48500,Marsupialization of pancreatic cyst ,BILI,No Change
122,48510,"External drainage, pseudocyst of pancreas; open ",BILI,No Change
123,48520,Internal anastomosis of pancreatic cyst to gastrointestinal tract; direct ,BILI,No Change
124,48540,Internal anastomosis of pancreatic cyst to gastrointestinal tract; Roux-en-Y ,BILI,No Change
125,48545,Pancreatorrhaphy for injury ,BILI,No Change
126,48548,"Pancreaticojejunostomy, side-to-side anastomosis (Puestow-type operation) ",BILI,No Change
127,0585T,"Islet cell transplant, includes portal vein catheterization and infusion, including all imaging, including all guidance, and radiological supervision and interpretation, when performed; laparoscopic",BILI,No change
128,0586T,"Islet cell transplant, includes portal vein catheterization and infusion, including all imaging, including all guidance, and radiological supervision and interpretation, when performed; open",BILI,No change
129,11970,Replacement of tissue expander(s) with permanent implant,BRST,No Change
130,19101,"Biopsy of breast; open, incisional",BRST,No Change
131,19105,"Ablation, cryosurgical, of fibroadenoma, including ultrasound guidance, each fibroadenoma",BRST,No Change
132,19110,"Nipple exploration, with or without excision of a solitary lactiferous duct or a papilloma lactiferous duct",BRST,No Change
133,19112,Excision of lactiferous duct fistula,BRST,No Change
134,19120,"Excision of cyst, fibroadenoma, or other benign or malignant tumor, aberrant breast tissue, duct lesion, nipple or areolar lesion (except 19300), open, male or female, 1 or more lesions",BRST,No Change
135,19125,"Excision of breast lesion identified by pre-operative placement of radiological marker, open, single lesion ",BRST,No Change
136,19126,"Excision of breast lesion identified by pre-operative placement of radiological marker, open, single lesion; each No changeitional lesion separately identified by a preoperative radiological marker (list separately in No changeition to code for primary procedures) excision of breast lesion identified by pre-operative placement of radiological marker, open, single lesion",BRST,No Change
137,19300,Mastectomy for gynecomastia,BRST,No Change
138,19301,"Mastectomy, partial (eg, lumpectomy, tylectomy, quadrantectomy, segmentectomy);",BRST,No Change
139,19302,"Mastectomy, partial (eg, lumpectomy, tylectomy, quadrantectomy, segmentectomy); with axillary lymphadenectomy",BRST,No Change
140,19303,"Mastectomy, simple, complete",BRST,No Change
141,19305,"Mastectomy, radical, including pectoral muscles, axillary lymph nodes",BRST,No Change
142,19306,"Mastectomy, radical, including pectoral muscles, axillary and internal mammary lymph nodes (Urban type operation)",BRST,No Change
143,19307,"Mastectomy, modified radical, including axillary lymph nodes, with or without pectoralis minor muscle, but excluding pectoralis major muscle",BRST,No Change
144,19316,Mastopexy,BRST,No Change
145,19318,Reduction mammaplasty,BRST,No Change
146,19324,"Mammaplasty, augmentation; without prosthetic implant",BRST,No Change
147,19325,"Mammaplasty, augmentation; with prosthetic implant",BRST,No Change
148,19328,Removal of intact mammary implant,BRST,No Change
149,19330,Removal of mammary implant material,BRST,No Change
150,19340,"Immediate insertion of breast prosthesis following mastopexy, mastectomy or in reconstruction",BRST,No Change
151,19342,"Delayed insertion of breast prosthesis following mastopexy, mastectomy or in reconstruction",BRST,No Change
152,19350,Nipple/areola reconstruction,BRST,No Change
153,19355,Correction of inverted nipples,BRST,No Change
154,19357,"Breast reconstruction, immediate or delayed, with tissue expander, including subsequent expansion",BRST,No Change
155,19361,"Breast reconstruction with latissimus dorsi flap, without prosthetic implant",BRST,No Change
156,19364,Breast reconstruction with free flap,BRST,No Change
157,19366,Breast reconstruction with other technique,BRST,No Change
158,19367,"Breast reconstruction with transverse rectus abdominis myocutaneous flap (TRAM), single pedicle, including closure of donor site;",BRST,No Change
159,19368,"Breast reconstruction with transverse rectus abdominis myocutaneous flap (TRAM), single pedicle, including closure of donor site; with microvascular anastomosis (supercharging)",BRST,No Change
160,19369,"Breast reconstruction with transverse rectus abdominis myocutaneous flap (TRAM), double pedicle, including closure of donor site",BRST,No Change
161,19370,"Open periprosthetic capsulotomy, breast",BRST,No Change
162,19371,"Periprosthetic capsulectomy, breast",BRST,No Change
163,19380,Revision of reconstructed breast,BRST,No Change
164,32658,"Thoracoscopy, surgical; with removal of clot or foreign body from pericardial sac",CARD,No Change
165,32659,"Thoracoscopy, surgical; with creation of pericardial window or partial resection of pericardial sac for drainage",CARD,No Change
166,32661,"Thoracoscopy, surgical; with excision of pericardial cyst, tumor, or mass",CARD,No Change
167,33020,Pericardiotomy for removal of clot or foreign body (primary procedure),CARD,No Change
168,33025,Creation of pericardial window or partial resection for drainage,CARD,No Change
169,33030,"Pericardiectomy, subtotal or complete; without cardiopulmonary bypass",CARD,No Change
170,33031,"Pericardiectomy, subtotal or complete; with cardiopulmonary bypass",CARD,No Change
171,33050,Resection of pericardial cyst or tumor,CARD,No Change
172,33120,"Excision of intracardiac tumor, resection with cardiopulmonary bypass",CARD,No Change
173,33130,Resection of external cardiac tumor,CARD,No Change
174,33250,"Operative ablation of supraventricular arrhythmogenic focus or pathway (eg, Wolff-Parkinson-White, atrioventricular node re-entry), tract(s) and/or focus (foci); without cardiopulmonary bypass",CARD,No Change
175,33251,"Operative ablation of supraventricular arrhythmogenic focus or pathway (eg, Wolff-Parkinson-White, atrioventricular node re-entry), tract(s) and/or focus (foci); with cardiopulmonary bypass",CARD,No Change
176,33254,"Operative tissue ablation and reconstruction of atria, limited (eg, modified maze procedure)",CARD,No Change
177,33255,"Operative tissue ablation and reconstruction of atria, extensive (eg, maze procedure); without cardiopulmonary bypass",CARD,No Change
178,33256,"Operative tissue ablation and reconstruction of atria, extensive (eg, maze procedure); with cardiopulmonary bypass",CARD,No Change
179,33257,"Operative tissue ablation and reconstruction of atria, performed at the time of other cardiac procedure(s), limited (eg, modified maze procedure) (List separately in No changeition to code for primary procedure)",CARD,No Change
180,33258,"Operative tissue ablation and reconstruction of atria, performed at the time of other cardiac procedure(s), extensive (eg, maze procedure), without cardiopulmonary bypass (List separately in No changeition to code for primary procedure)",CARD,No Change
181,33259,"Operative tissue ablation and reconstruction of atria, performed at the time of other cardiac procedure(s), extensive (eg, maze procedure), with cardiopulmonary bypass (List separately in No changeition to code for primary procedure)",CARD,No Change
182,33261,Operative ablation of ventricular arrhythmogenic focus with cardiopulmonary bypass,CARD,No Change
183,33265,"Endoscopy, surgical; operative tissue ablation and reconstruction of atria, limited (eg, modified maze procedure), without cardiopulmonary bypass",CARD,No Change
184,33266,"Endoscopy, surgical; operative tissue ablation and reconstruction of atria, extensive (eg, maze procedure), without cardiopulmonary bypass ",CARD,No Change
185,33267,"Exclusion of left atrial appendage, open, any method (eg, excision, isolation via stapling, oversewing, ligation, plication, clip)",CARD,No change
186,33268,"Exclusion of left atrial appendage, open, performed at the time of other sternotomy or thoracotomy procedure(s), any method (eg, excision, isolation via stapling, oversewing, ligation, plication, clip) (List separately in addition to primary procedure)",CARD,No change
187,33269,"Exclusion of left atrial appendage, thoracoscopic, any method (eg, excision, isolation via stapling, oversewing, ligation, plication, clip)",CARD,No change
188,33300,Repair of cardiac wound; without bypass ,CARD,No Change
189,33305,Repair of cardiac wound; with cardiopulmonary bypass ,CARD,No Change
190,33310,"Cardiotomy, exploratory (includes removal of foreign body, atrial or ventricular thrombus); without bypass  ",CARD,No Change
191,33315,"Cardiotomy, exploratory (includes removal of foreign body, atrial or ventricular thrombus); with cardiopulmonary bypass ",CARD,No Change
192,33365,"Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; transaortic approach (eg, median sternotomy, mediastinotomy)",CARD,No Change
193,33366,"Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; transapical exposure (eg, left thoracotomy) ",CARD,No Change
194,33390,"Valvuloplasty, aortic valve, open, with cardiopulmonary bypass; simple (ie, valvotomy, debridement, debulking, and/or simple commissural resuspension)",CARD,No Change
195,33391,"Valvuloplasty, aortic valve, open, with cardiopulmonary bypass; complex (eg, leaflet extension, leaflet resection, leaflet reconstruction, or annuloplasty)",CARD,No Change
196,33404,Construction of apical-aortic conduit,CARD,No Change
197,33405,"Replacement, aortic valve, open, with cardiopulmonary bypass; with prosthetic valve other than homograft or stentless valve ",CARD,No Change
198,33406,"Replacement, aortic valve, with cardiopulmonary bypass; with allograft valve (freehand)",CARD,No Change
199,33410,"Replacement, aortic valve, open, with cardiopulmonary bypass; with stentless tissue valve ",CARD,No Change
200,33411,"Replacement, aortic valve; with aortic annulus enlargement, noncoronary sinus ",CARD,No Change
201,33412,"Replacement, aortic valve; with transventricular aortic annulus enlargement (Konno procedure)",CARD,No Change
202,33413,"Replacement, aortic valve; by translocation of autologous pulmonary valve with allograft replacement of pulmonary valve (Ross procedure) ",CARD,No Change
203,33414,Repair of left ventricular outflow tract obstruction by patch enlargement of the outflow tract ,CARD,No Change
204,33415,Resection or incision of subvalvular tissue for discrete subvalvular aortic stenosis ,CARD,No Change
205,33416,"Ventriculomyotomy (-myectomy) for idiopathic hypertrophic subaortic stenosis (eg, asymmetric septal hypertrophy)",CARD,No Change
206,33417,Aortoplasty (gusset) for supravalvular stenosis,CARD,No Change
207,33420,"Valvotomy, mitral valve; closed heart",CARD,No Change
208,33422,"Valvotomy, mitral valve; open heart, with cardiopulmonary bypass",CARD,No Change
209,33425,"Valvuloplasty, mitral valve, with cardiopulmonary bypass;",CARD,No Change
210,33426,"Valvuloplasty, mitral valve, with cardiopulmonary bypass; with prosthetic ring",CARD,No Change
211,33427,"Valvuloplasty, mitral valve, with cardiopulmonary bypass; radical reconstruction, with or without ring",CARD,No Change
212,33430,"Replacement, mitral valve, with cardiopulmonary bypass",CARD,No Change
213,33440,Replacement of aortic valve by translocation of autologous pulmonary valve and transventricular aortic annulus enlargement of left ventricular outflow tract with valved conduit replacement of pulmonary valve,CARD,No Change
214,33460,"Valvectomy, tricuspid valve, with cardiopulmonary bypass",CARD,No Change
215,33463,"Valvuloplasty, tricuspid valve; without ring insertion ",CARD,No Change
216,33464,"Valvuloplasty, tricuspid valve; with ring insertion",CARD,No Change
217,33465,"Replacement, tricuspid valve, with cardiopulmonary bypass ",CARD,No Change
218,33468,Tricuspid valve repositioning and plication for Ebstein anomaly,CARD,No Change
219,33471,"Valvotomy, pulmonary valve, closed heart; via pulmonary artery",CARD,No Change
220,33474,"Valvotomy, pulmonary valve, open heart, with cardiopulmonary bypass",CARD,No Change
221,33475,"Replacement, pulmonary valve ",CARD,No Change
222,33476,"Right ventricular resection for infundibular stenosis, with or without commissurotomy",CARD,No Change
223,33478,"Outflow tract augmentation (gusset), with or without commissurotomy or infundibular resection",CARD,No Change
224,33496,Repair of non-structural prosthetic valve dysfunction with cardiopulmonary bypass (separate procedure),CARD,No Change
225,33542,"Myocardial resection (eg, ventricular aneurysmectomy)",CARD,No Change
226,33545,"Repair of postinfarction ventricular septal defect, with or without myocardial resection ",CARD,No Change
227,33548,"Surgical ventricular restoration procedure, includes prosthetic patch, when performed (eg, ventricular remodeling, SVR, SAVER, Dor procedures)",CARD,No Change
228,33600,Closure of atrioventricular valve (mitral or tricuspid) by suture or patch,CARD,No Change
229,33602,Closure of semilunar valve (aortic or pulmonary) by suture or patch,CARD,No Change
230,33608,Repair of complex cardiac anomaly other than pulmonary atresia with ventricular septal defect by construction or replacement of conduit from right or left ventricle to pulmonary artery ,CARD,No Change
231,33610,"Repair of complex cardiac anomalies (eg, single ventricle with subaortic obstruction) by surgical enlargement of ventricular septal defect",CARD,No Change
232,33611,Repair of double outlet right ventricle with intraventricular tunnel repair; ,CARD,No Change
233,33612,Repair of double outlet right ventricle with intraventricular tunnel repair; with repair of right ventricular outflow tract obstruction ,CARD,No Change
234,33615,"Repair of complex cardiac anomalies (eg, tricuspid atresia) by closure of atrial septal defect and anastomosis of atria or vena cava to pulmonary artery (simple Fontan procedure)",CARD,No Change
235,33617,"Repair of complex cardiac anomalies (e.g., single ventricle by modified Fontan)",CARD,No Change
236,33619,"Repair of single ventricle with aortic outflow obstruction and aortic arch hypoplasia (hypoplastic left heart syndrome) (eg, Norwood procedure)",CARD,No Change
237,33641,"Repair atrial septal defect, secundum, with cardiopulmonary bypass, with or without patch ",CARD,No Change
238,33645,"Direct or patch closure, sinus venosus, with or without anomalous pulmonary venous drainage ",CARD,No Change
239,33647,"Repair of atrial septal defect and ventricular septal defect, with direct or patch closure ",CARD,No Change
240,33660,"Repair of incomplete or partial atrioventricular canal (ostium primum atrial septal defect), with or without atrioventricular valve repair ",CARD,No Change
241,33665,"Repair of intermediate or transitional atrioventricular canal, with or without atrioventricular valve repair ",CARD,No Change
242,33670,"Repair of complete atrioventricular canal, with or without prosthetic valve ",CARD,No Change
243,33675,Closure of multiple ventricular septal defects; ,CARD,No Change
244,33676,Closure of multiple ventricular septal defects; with pulmonary valvotomy or infundibular resection (acyanotic) ,CARD,No Change
245,33677,"Closure of multiple ventricular septal defects; with removal of pulmonary artery band, with or without gusset ",CARD,No Change
246,33681,"Closure of single ventricular septal defect, with or without patch; ",CARD,No Change
247,33684,"Closure of single ventricular septal defect, with or without patch; with pulmonary valvotomy or infundibular resection (acyanotic) ",CARD,No Change
248,33688,"Closure of single ventricular septal defect, with or without patch; with removal of pulmonary artery band, with or without gusset ",CARD,No Change
249,33692,Complete repair tetralogy of Fallot without pulmonary atresia;,CARD,No Change
250,33694,Complete repair tetralogy of Fallot without pulmonary atresia; with transannular patch,CARD,No Change
251,33697,Complete repair tetralogy of Fallot with pulmonary atresia including construction of conduit from right ventricle to pulmonary artery and closure of ventricular septal defect,CARD,No Change
252,33702,"Repair sinus of Valsalva fistula, with cardiopulmonary bypass; ",CARD,No Change
253,33710,"Repair sinus of Valsalva fistula, with cardiopulmonary bypass; with repair of ventricular septal defect ",CARD,No Change
254,33720,"Repair sinus of Valsalva aneurysm, with cardiopulmonary bypass ",CARD,No Change
255,33732,Repair of cor triatriatum or supravalvular mitral ring by resection of left atrial membrane,CARD,No Change
256,33735,Atrial septectomy or septostomy; closed heart (Blalock-Hanlon type operation) ,CARD,No Change
257,33736,Atrial septectomy or septostomy; open heart with cardiopulmonary bypass ,CARD,No Change
258,33737,"Atrial septectomy or septostomy; open heart, with inflow occlusion ",CARD,No Change
259,33770,Repair of transposition of the great arteries with ventricular septal defect and subpulmonary stenosis; without surgical enlargement of ventricular septal defect,CARD,No Change
260,33774,"Repair of transposition of the great arteries, atrial baffle procedure (eg, Mustard or Senning type) with cardiopulmonary bypass;",CARD,No Change
261,33776,"Repair of transposition of the great arteries, atrial baffle procedure (eg, Mustard or Senning type) with cardiopulmonary bypass; with closure of ventricular septal defect ",CARD,No Change
262,33780,"Repair of transposition of the great arteries, aortic pulmonary artery reconstruction (eg, Jatene type); with closure of ventricular septal defect ",CARD,No Change
263,33782,"Aortic root translocation with ventricular septal defect and pulmonary stenosis repair (ie, Nikaidoh procedure); without coronary ostium reimplantation ",CARD,No Change
264,33783,"Aortic root translocation with ventricular septal defect and pulmonary stenosis repair (ie, Nikaidoh procedure); with reimplantation of 1 or both coronary ostia ",CARD,No Change
265,33786,"Total repair, truncus arteriosus (Rastelli type operation)",CARD,No Change
266,33813,Obliteration of aortopulmonary septal defect; without cardiopulmonary bypass ,CARD,No Change
267,33814,Obliteration of aortopulmonary septal defect; with cardiopulmonary bypass ,CARD,No Change
268,33920,"Repair of pulmonary atresia with ventricular septal defect, by construction or replacement of conduit from right or left ventricle to pulmonary artery",CARD,No Change
269,33975,"Insertion of ventricular assist device; extracorporeal, single ventricle",CARD,No change
270,33976,"Insertion of ventricular assist device; extracorporeal, biventricle",CARD,No change
271,33977,"Removal of ventricular assist device; extracorporeal, single ventricle",CARD,No change
272,33978,"Removal of ventricular assist device; extracorporeal, biventricle",CARD,No change
273,33979,"Insertion of ventricular assist device; implantable intracorporeal, single ventricle",CARD,No change
274,33980,"Removal of ventricular assist device; implantable intracorporeal, single ventricle",CARD,No change
275,0051T,Implantation of a total replacement heart system (artificial heart) with recipient cardiectomy ,CARD,No change
276,0052T,"Replacement or repair of implantable component or components of total replacement heart system (artificial heart), thoracic unit ",CARD,No change
